age,gender,SPS,FA1,FA2,FA3,FA4,RAT,BT,CSE,Group,Stage1,Stage2,Num,Stage2_Stage1
18,2,74,1,5,7,6,8,4,37,1,6,13,109,7
19,2,76,3,4,21,8,4,5,32,1,7,29,110,22
19,1,77,3,3,4,7,4,7,30,1,6,11,111,5
21,2,81,2,3,3,2,5,3,29,1,5,5,112,0
18,2,81,2,5,19,13,4,5,20,1,7,32,113,25
19,2,81,3,3,8,7,3,2,20,1,6,15,114,9
20,1,81,1,6,8,9,7,4,24,1,7,17,115,10
18,1,82,13,9,30,16,5,7,29,1,22,46,116,24
19,2,84,5,8,12,11,7,3,29,1,13,23,117,10
18,1,85,4,8,11,7,6,6,28,1,12,18,119,6
18,2,85,1,4,3,3,8,2,20,1,5,6,120,1
21,2,86,5,6,14,10,6,7,36,1,11,24,121,13
20,2,86,1,3,3,3,4,5,36,1,4,6,122,2
19,2,86,3,7,14,12,8,6,28,1,10,26,123,16
20,1,87,5,7,19,10,5,6,34,1,12,29,124,17
18,2,87,2,3,10,10,5,6,26,1,5,20,125,15
19,2,89,2,4,12,7,9,5,28,1,6,19,126,13
21,2,90,12,21,15,17,8,4,36,1,33,32,127,-1
21,2,90,2,5,8,13,6,5,27,1,7,21,128,14
18,2,90,9,4,18,13,6,5,33,1,13,31,129,18
20,2,91,1,5,7,6,6,5,20,1,6,13,130,7
22,2,91,2,4,11,8,4,4,28,1,6,19,131,13
20,2,91,4,4,5,6,4,4,20,1,8,11,132,3
21,2,92,11,13,25,15,2,4,26,1,24,40,133,16
20,1,92,6,6,13,7,1,4,28,1,12,20,134,8
20,2,92,5,5,6,10,9,3,26,1,10,16,135,6
20,2,93,3,3,4,6,7,7,31,1,6,10,136,4
21,1,94,5,9,10,10,5,8,24,1,14,20,137,6
19,2,94,5,6,15,9,8,6,28,1,11,24,138,13
21,1,94,1,4,4,6,2,3,32,1,5,10,139,5
21,2,94,2,9,7,7,3,5,33,1,11,14,140,3
18,1,94,3,2,4,3,6,3,35,1,5,7,141,2
,,,,,,,,,,,10.09090909,19.87878788,,
20,2,95,6,7,8,8,9,10,29,1,13,16,142,3
21,2,95,3,15,15,18,7,2,32,1,18,33,143,15
19,2,96,8,9,24,18,6,10,30,1,17,42,144,25
21,2,96,3,7,6,5,5,3,21,1,10,11,145,1
21,2,96,2,6,9,8,9,1,27,1,8,17,146,9
19,2,98,7,8,19,7,1,6,26,1,15,26,147,11
22,1,98,9,23,20,13,9,4,28,1,32,33,148,1
18,2,98,6,5,18,8,7,4,19,1,11,26,149,15
21,2,99,9,6,7,10,3,2,20,1,15,17,150,2
21,2,99,8,4,19,11,4,7,29,1,12,30,151,18
20,1,99,7,10,14,16,4,0,34,1,17,30,152,13
18,2,100,10,7,21,13,5,6,37,1,17,34,154,17
18,2,100,5,7,7,6,8,5,27,1,12,13,155,1
18,1,101,4,2,10,10,6,6,24,1,6,20,156,14
19,2,101,7,7,16,8,6,4,20,1,14,24,157,10
21,2,101,8,11,9,6,9,4,17,1,19,15,158,-4
21,2,101,6,14,23,11,6,9,27,1,20,34,159,14
20,2,101,3,9,27,10,7,7,33,1,12,37,160,25
20,1,101,7,13,8,6,9,2,26,1,20,14,161,-6
19,1,101,9,20,30,13,7,3,18,1,29,43,162,14
18,2,103,12,19,24,18,8,6,22,1,31,42,165,11
20,2,103,5,5,10,10,7,8,20,1,10,20,166,10
19,2,103,7,1,7,5,5,4,18,1,8,12,167,4
21,2,104,2,3,6,3,6,4,35,1,5,9,168,4
20,2,104,6,15,14,17,8,4,25,1,21,31,169,10
20,1,104,2,14,17,12,4,5,33,1,16,29,170,13
18,2,104,6,8,12,7,6,8,30,1,14,19,171,5
19,2,104,4,8,11,10,8,3,18,1,12,21,172,9
19,2,105,3,6,4,4,9,5,13,1,9,8,173,-1
21,2,105,4,6,25,14,2,7,27,1,10,39,174,29
18,2,106,3,3,8,5,6,2,30,1,6,13,175,7
21,1,106,10,14,10,8,8,9,31,1,24,18,176,-6
21,2,106,11,19,28,21,9,6,18,1,30,49,177,19
20,2,106,2,5,9,3,5,3,29,1,7,12,178,5
21,1,107,2,12,10,10,7,7,14,1,14,20,179,6
,,,,,,,,,,,12.92447552,24.48571429,,
21,2,108,4,6,7,5,3,4,22,1,10,12,180,2
20,2,108,4,5,17,11,9,6,7,1,9,28,181,19
22,2,108,14,13,18,11,3,7,17,1,27,29,182,2
20,2,108,3,3,15,11,5,3,27,1,6,26,183,20
21,2,108,6,7,21,9,7,7,29,1,13,30,184,17
19,2,108,3,13,23,12,6,4,21,1,16,35,185,19
20,2,109,4,11,6,19,6,3,23,1,15,25,186,10
21,2,109,4,4,7,10,6,5,23,1,8,17,187,9
21,2,109,5,5,8,5,6,2,23,1,10,13,188,3
21,2,110,3,4,12,7,8,5,14,1,7,19,189,12
21,2,110,5,7,25,22,5,7,28,1,12,47,190,35
19,2,110,4,7,11,4,4,3,18,1,11,15,191,4
