Num,Age,gender,SPS1,SPS2,SPS3,SPS4,SPS5,SPS6,SPS7,SPS8,SPS9,SPS10,SPS11,SPS12,SPS13,SPS14,SPS15,SPS16,SPS17,SPS18,SPS19,SPS20,SPS21,SPS22,SPS23,SPS24,SPS25,SPS26,SPS27
51,4,2,3,4,4,2,5,3,4,4,3,4,4,4,4,4,2,4,4,4,4,5,4,4,3,3,4,4,2
52,5,2,4,5,4,5,5,5,4,4,5,5,4,4,5,5,5,5,5,5,4,3,4,5,4,3,3,4,2
53,3,1,4,4,4,3,2,2,3,5,4,5,3,5,3,4,4,4,4,4,5,3,4,5,4,5,3,4,4
54,3,2,3,4,4,3,4,4,3,4,4,2,5,3,4,5,3,5,5,5,4,3,4,4,4,3,4,5,4
55,4,2,4,5,2,5,5,1,5,5,5,2,5,4,2,5,5,5,5,1,4,1,5,5,4,1,5,4,1
56,2,2,4,3,4,2,5,4,3,4,4,4,5,3,2,4,4,5,4,2,3,4,4,4,3,2,4,4,5
57,4,1,4,4,4,3,4,3,5,4,4,4,4,4,3,4,4,4,4,5,3,3,3,4,3,4,4,4,5
58,1,2,3,4,3,4,4,3,5,5,5,5,4,5,3,4,4,4,3,3,3,3,4,5,3,5,5,3,4
59,4,2,4,3,5,4,5,3,5,5,5,3,5,3,4,5,5,4,5,4,5,5,4,4,5,4,5,5,3
60,4,2,2,4,4,5,5,2,2,5,5,5,5,5,5,5,1,5,5,1,5,1,4,5,5,4,5,5,5
61,3,2,3,3,4,2,4,2,2,4,4,4,3,4,2,4,4,4,4,2,1,1,4,3,2,2,4,2,2
62,2,2,3,3,2,3,1,4,2,3,4,5,3,4,1,4,4,5,5,2,4,3,3,5,4,3,5,5,4
63,4,2,2,2,3,2,4,3,3,3,4,4,2,4,3,3,1,3,3,4,3,1,2,2,3,2,5,5,3
64,2,2,3,4,4,3,4,5,2,4,5,4,5,4,5,5,4,5,5,4,2,5,4,3,4,5,5,5,4
65,4,1,5,4,4,4,5,3,5,5,5,5,4,4,4,4,5,5,5,1,4,5,4,4,4,3,4,4,2
66,2,2,5,5,4,5,4,5,4,5,5,4,5,4,4,4,4,5,4,5,5,4,4,4,4,3,4,2,4
67,4,2,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,3,5,4,4,5,4,5,5,3,3
68,2,2,3,3,5,3,4,2,4,3,4,2,3,4,4,5,4,5,5,3,4,4,4,4,5,4,4,4,4
69,4,1,4,4,4,3,3,3,4,3,4,5,3,3,2,4,5,5,3,1,2,3,2,5,3,3,3,2,2
70,4,2,4,5,4,3,5,1,5,5,5,5,5,5,3,5,5,5,4,3,4,5,5,5,5,4,4,3,1
71,5,2,3,4,4,4,4,3,4,4,4,4,4,4,2,4,3,4,4,4,3,3,3,4,3,3,4,4,3
72,2,2,3,4,4,4,5,2,4,4,5,4,5,4,3,5,3,5,4,2,3,4,4,3,3,3,4,3,3
73,3,1,4,2,4,4,4,1,2,3,3,5,4,3,2,5,5,2,3,4,4,1,5,5,4,2,2,4,5
74,2,2,3,2,3,2,5,2,5,3,4,4,1,2,4,4,4,5,4,2,4,5,3,4,3,2,4,5,3
