Num,Age,gender,SPS1,SPS2,SPS3,SPS4,SPS5,SPS6,SPS7,SPS8,SPS9,SPS10,SPS11,SPS12,SPS13,SPS14,SPS15,SPS16,SPS17,SPS18,SPS19,SPS20,SPS21,SPS22,SPS23,SPS24,SPS25,SPS26,SPS27
222,2,2,5,5,3,3,5,4,3,5,5,5,5,5,3,5,5,5,5,5,5,2,5,5,5,5,5,1,3
223,1,2,4,3,4,2,5,2,2,5,4,5,3,4,5,5,4,5,5,1,4,2,4,5,4,2,2,5,4
224,1,2,4,5,5,4,5,2,5,3,5,5,5,4,4,5,5,3,4,5,5,5,4,5,4,2,5,2,4
225,1,2,2,5,2,1,5,3,5,5,5,5,5,3,2,5,5,3,5,1,5,5,3,5,3,5,5,5,3
226,1,2,2,5,4,4,5,2,4,5,4,5,5,5,5,5,4,5,5,1,2,4,4,5,4,5,4,5,5
227,1,2,3,4,4,2,4,5,4,5,4,5,4,3,3,4,3,4,5,4,3,3,4,5,5,4,4,4,4
228,2,2,3,4,4,3,5,2,4,4,5,4,5,4,4,5,4,5,5,5,5,4,5,5,5,3,5,5,4
229,1,1,2,5,1,1,5,2,3,4,5,5,4,4,2,4,5,4,5,1,4,5,1,5,4,5,3,4,3
230,1,2,4,5,4,4,3,2,3,4,4,5,2,4,3,4,3,4,4,4,4,4,4,5,4,4,4,4,5
231,2,2,1,2,4,4,5,1,2,1,3,1,4,4,1,3,4,3,2,2,5,4,2,1,5,5,4,3,5
232,2,1,3,4,3,3,3,3,3,3,3,3,3,5,2,3,3,2,4,2,3,3,3,4,2,4,4,3,2
233,1,2,4,4,5,4,5,3,5,4,5,5,5,4,4,4,4,5,4,5,5,5,4,5,5,3,5,4,5
234,5,2,3,4,4,2,5,3,4,4,4,4,5,4,3,4,3,5,4,2,4,2,4,4,2,3,5,3,5
235,3,2,2,4,2,2,2,4,5,5,5,5,4,3,2,2,2,3,4,2,2,4,2,4,2,5,4,2,3
236,6,2,4,3,4,5,5,4,3,4,3,4,5,3,3,3,4,4,4,1,3,3,3,5,3,2,2,3,4
237,2,2,5,4,5,3,2,3,2,5,4,5,4,4,3,5,1,5,5,1,3,3,3,5,4,5,5,5,5
238,3,2,3,4,5,4,5,3,4,5,4,5,4,4,3,5,5,5,5,3,4,3,4,4,3,3,4,5,5
239,3,2,4,4,2,3,3,4,5,4,5,4,4,4,4,5,3,4,4,5,3,3,4,4,4,4,5,3,5
240,2,2,4,4,5,5,5,2,5,5,5,5,5,5,5,5,4,5,5,2,5,4,5,5,5,5,5,4,5
241,2,2,2,4,4,2,4,2,5,4,4,5,4,5,2,5,4,4,4,5,3,1,1,3,3,4,4,5,4
242,3,2,4,2,4,5,3,2,4,3,5,4,3,4,5,5,4,3,4,2,3,5,4,3,2,3,4,2,1
243,7,1,4,1,3,5,5,2,3,4,5,4,5,1,3,5,5,5,4,1,5,5,5,4,3,4,4,4,3
244,3,2,3,4,3,4,5,1,3,4,5,5,5,4,2,4,5,4,4,2,3,4,2,5,4,2,4,2,2
245,3,2,4,3,4,4,4,3,5,4,5,4,4,5,4,5,4,3,3,4,4,4,4,4,4,4,4,4,3
246,1,2,3,4,5,3,4,3,3,5,5,5,3,4,4,5,4,5,4,4,4,2,4,3,4,3,5,5,4
247,1,2,4,4,5,2,3,2,3,4,5,5,3,4,3,4,4,4,4,4,4,5,3,3,4,3,3,5,2
248,1,2,1,3,4,2,3,1,3,4,4,2,4,5,2,4,4,4,4,4,3,4,2,3,4,3,4,4,2
249,2,2,4,5,4,4,4,4,3,5,4,5,4,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5,5
250,2,2,3,4,4,2,4,3,2,3,4,5,2,2,3,5,4,5,3,2,5,4,4,5,5,2,4,2,4
251,2,2,3,3,4,4,5,5,1,3,5,4,2,2,1,5,5,5,4,1,5,1,5,3,5,4,4,5,4
252,2,2,4,2,4,1,5,5,4,3,5,5,5,4,5,5,4,5,4,1,2,5,3,5,2,1,5,5,5
253,1,2,4,4,3,4,4,2,3,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,5,5,5
254,8,2,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,3,5
255,1,2,3,4,3,5,1,1,5,5,5,5,4,4,1,5,5,5,5,4,2,5,4,5,4,5,5,5,4
256,3,1,4,4,1,3,3,2,5,3,4,4,3,3,3,4,2,4,4,4,3,4,2,4,4,2,4,5,4
257,3,2,1,2,1,1,4,1,1,2,4,5,3,4,1,1,3,2,2,2,2,2,2,4,3,3,3,3,3
258,3,2,5,4,5,5,1,5,3,5,5,5,3,4,5,5,5,5,5,5,5,5,3,4,4,5,5,3,3
259,3,2,4,3,4,3,4,4,4,4,4,4,5,4,3,3,3,4,4,4,3,4,2,4,3,2,3,3,2
260,7,1,3,4,5,2,2,1,2,5,4,5,5,4,4,5,5,5,5,3,5,5,5,5,5,5,3,5,3
261,4,2,3,2,5,2,2,3,5,2,5,3,2,3,2,5,5,4,4,5,4,3,3,4,4,2,5,3,5
262,3,2,3,3,4,4,1,2,2,3,2,3,3,4,2,4,4,4,4,3,3,5,4,3,3,3,3,4,2
263,6,2,4,3,4,4,4,5,5,4,5,5,5,4,4,5,5,5,4,3,3,5,3,4,5,4,5,4,4
264,3,2,4,4,5,3,4,2,1,4,4,5,4,3,4,4,4,4,4,5,4,2,4,4,4,4,3,2,4
